          10           0           1         208   2.37084770    
     1.185      0.000     1     3      0.000     0  2112
    -4.988      0.263    -1     0     -9.752  2212  2212
    -0.151      1.403    -2     3     -6.952     0  2212
    -0.175     -4.880    -3     0     -6.460  2212  2212
    -1.776      0.074    -4     3     -6.281     0  2212
    -3.561     -0.146    -5     0     -6.056  2212  2212
     0.244     -1.745    -6     0     -5.679  2212  2212
    -1.639     -0.815    -7     0     -5.638  2212  2212
    -7.283      1.002    -8     0     -5.527  2212  2212
    -3.960      3.864    -9     0     -5.093  2212  2212
     1.503     -2.924   -10     0     -4.986  2212  2212
    -1.945      3.646   -11     0     -4.928  2212  2212
     1.814     -3.172   -12     0     -4.913  2212  2212
    -3.895     -0.063   -13     0     -4.804  2212  2212
    -3.641     -2.880   -14     0     -4.797  2212  2212
    -1.844      2.331   -15     0     -4.585  2212  2212
     1.593      2.042   -16     3     -4.556     0  2212
     1.696     -2.759   -17     0     -4.541  2212  2212
    -2.130      3.541   -18     0     -4.384  2212  2212
     1.193      1.774   -19     0     -4.333  2212  2212
    -5.110      0.981   -20     0     -4.311  2212  2212
    -5.402      2.784   -21     0     -4.307  2212  2212
     1.652      5.993   -22     0     -4.035  2212  2212
    -4.780     -0.253   -23     0     -3.911  2212  2212
     0.121     -4.541   -24     0     -3.874  2212  2212
    -2.775     -4.838   -25     0     -3.835  2212  2212
    -3.199      6.760   -26     0     -3.691  2212  2212
     1.323      2.474   -27     0     -3.623  2212  2212
    -2.342     -4.896   -28     0     -3.584  2212  2212
     1.145      3.033   -29     0     -3.502  2212  2212
     3.692     -3.628   -30     0     -3.410  2212  2212
    -3.237      3.632   -31     0     -3.404  2212  2212
     2.288      2.643   -32     0     -3.373  2212  2212
    -1.717     -2.207   -33     0     -3.369  2212  2212
    -5.303      0.958   -34     0     -3.334  2212  2212
    -0.846     -1.960   -35     0     -3.313  2212  2212
    -4.130      1.914   -36     0     -3.256  2212  2212
     3.101      0.573   -37     0     -3.094  2212  2212
    -0.625     -4.934   -38     0     -3.085  2212  2212
     2.830     -2.793   -39     0     -3.080  2212  2212
    -3.243      2.518   -40     0     -3.051  2212  2212
    -1.023      3.833   -41     0     -2.976  2212  2212
    -0.589     -0.704   -42     3     -2.930     0  2212
    -3.899     -2.593   -43     0     -2.868  2212  2212
    -1.048     -4.671   -44     0     -2.805  2212  2212
    -0.460     -4.992   -45     0     -2.684  2212  2212
     3.621     -4.617   -46     0     -2.637  2212  2212
     3.352     -2.761   -47     0     -2.597  2212  2212
    -2.195     -2.669   -48     0     -2.507  2212  2212
    -0.196     -0.169   -49     3     -2.480     0  2212
     3.378      0.267   -50     0     -2.449  2212  2212
    -0.257      5.389   -51     0     -2.417  2212  2212
    -0.697      4.061   -52     0     -2.361  2212  2212
    -5.176      4.196   -53     0     -2.333  2212  2212
    -1.950      4.591   -54     0     -2.288  2212  2212
     3.129      1.316   -55     0     -2.128  2212  2212
     2.897     -4.033   -56     0     -2.100  2212  2212
    -3.301     -4.501   -57     0     -2.063  2212  2212
     0.823      5.510   -58     0     -1.937  2212  2212
     4.439     -1.896   -59     0     -1.935  2212  2212
    -0.166     -2.448   -60     0     -1.914  2212  2212
    -0.145      4.207   -61     0     -1.877  2212  2212
    -3.385     -1.666   -62     0     -1.875  2212  2212
     1.613      2.312   -63     0     -1.824  2212  2212
    -1.305     -6.346   -64     0     -1.710  2212  2212
    -5.154      0.910   -65     0     -1.650  2212  2212
    -6.450      3.071   -66     0     -1.630  2212  2212
    -2.798      5.321   -67     0     -1.581  2212  2212
     3.205      3.958   -68     0     -1.549  2212  2212
    -3.376      4.148   -69     0     -1.489  2212  2212
    -2.263      5.278   -70     0     -1.463  2212  2212
    -2.604      1.180   -71     0     -1.448  2212  2212
    -1.335      3.941   -72     0     -1.429  2212  2212
     1.118      3.063   -73     0     -1.349  2212  2212
     1.789     -6.683   -74     0     -1.312  2212  2212
     3.859     -1.149   -75     3     -1.230     0  2212
    -6.933     -3.987   -76     0     -1.222  2212  2212
    -2.671      3.804   -77     0     -1.217  2212  2212
     0.822      0.098   -78     3     -1.208     0  2212
    -3.341      5.017   -79     0     -1.158  2212  2212
    -1.652      3.943   -80     0     -1.132  2212  2212
    -2.550     -2.378   -81     0     -1.061  2212  2212
     0.612     -2.618   -82     0     -1.021  2212  2212
    -2.290     -1.365   -83     0     -0.989  2112  2112
    -4.319     -2.063   -84     0     -0.928  2112  2112
    -7.311     -2.236   -85     0     -0.827  2112  2112
    -4.260     -1.207   -86     0     -0.814  2112  2112
    -4.535     -0.388   -87     0     -0.811  2112  2112
    -6.737     -2.100   -88     0     -0.714  2112  2112
     1.719      1.004   -89     3     -0.635     0  2112
    -0.172     -0.644   -90     0     -0.626  2112  2112
    -3.718      4.021   -91     0     -0.595  2112  2112
    -5.515      1.617   -92     0     -0.573  2112  2112
    -7.441      2.159   -93     0     -0.535  2112  2112
     0.319     -4.658   -94     0     -0.514  2112  2112
     2.503     -2.079   -95     0     -0.482  2112  2112
    -1.996      3.687   -96     0     -0.420  2112  2112
     1.107      1.916   -97     3     -0.333     0  2112
    -5.107     -3.775   -98     0     -0.259  2112  2112
    -1.957      5.858   -99     0     -0.208  2112  2112
    -5.769     -0.163  -100     0     -0.197  2112  2112
    -1.028     -2.933  -101     0     -0.108  2112  2112
    -3.616      1.265  -102     0     -0.085  2112  2112
    -5.239     -0.265  -103     0     -0.045  2112  2112
    -4.511     -4.234  -104     0     -0.027  2112  2112
     7.307      4.641  -105     0      0.011  2112  2112
